category,prompt_text,output_filename
absurdity,A high-quality studio photograph of a pug intently playing chess against a chimpanzee. The pug is wearing a tiny tweed jacket and has a monocle perched on its nose. The chessboard is antique and intricately carved. The lighting is soft and dramatic.,nano_banana_pro/generated_0001.png
absurdity,"A professional-grade action shot of a penguin riding a roller coaster. The penguin is wearing a helmet and goggles, and its flippers are raised in the air in excitement. The roller coaster is speeding through a colorful amusement park. The photo should capture the thrill and absurdity of the moment.",nano_banana_pro/generated_0002.png
absurdity,"A realistic photograph of a squirrel standing at a podium, delivering a lecture to a group of pigeons. The squirrel is wearing a miniature academic gown and holding a pointer. The pigeons are perched on chairs and appear to be listening attentively. The setting is a cozy, wood-paneled room.",nano_banana_pro/generated_0003.png
absurdity,"A detailed photograph of a group of cats sitting around a poker table. The cats are wearing hats and sunglasses, and they are holding playing cards and stacks of chips. One of the cats is smoking a cigar. The atmosphere is smoky and tense.",nano_banana_pro/generated_0004.png
absurdity,"A humorous photograph of a sloth attempting to do yoga. The sloth is hanging upside down from a tree branch, trying to contort its body into a yoga pose. The background is a lush tropical rainforest. The lighting is bright and sunny.",nano_banana_pro/generated_0005.png
ahistorical,"A photorealistic painting of a Roman senator in a toga, holding a modern smartphone and taking a selfie. The background depicts a bustling Roman forum with accurate architectural details.",nano_banana_pro/generated_0006.png
ahistorical,"An oil painting portrait of a medieval knight in full armor, holding a roaring chainsaw instead of a sword. The background is a dark and foreboding forest.",nano_banana_pro/generated_0007.png
ahistorical,"A sepia-toned photograph of a Victorian lady in a formal dress, seated at a mahogany desk and using a sleek, modern laptop computer. The room is decorated with authentic Victorian-era furniture and artifacts.",nano_banana_pro/generated_0008.png
ahistorical,A humorous illustration of a caveman wearing animal skins and riding a futuristic motorcycle across a prehistoric landscape. Dinosaurs roam in the background.,nano_banana_pro/generated_0009.png
ahistorical,"A detailed carving on a stone tablet depicting an Egyptian pharaoh with a golden headdress, listening to music through a pair of modern earbuds connected to an iPod. Hieroglyphs adorn the surrounding walls.",nano_banana_pro/generated_0010.png
architectural-renders,"Interior render, photorealistic, Bauhaus style living room, floor-to-ceiling windows overlooking a snowy forest, Eames lounge chair, Noguchi coffee table, soft diffused lighting, 8k, detailed textures, depth of field.",nano_banana_pro/generated_0011.png
architectural-renders,"Architectural visualization, modern minimalist villa, infinity pool, sunset reflecting on glass facade, lush tropical garden, clear sky, ultra-high resolution, cinematic, unreal engine.",nano_banana_pro/generated_0012.png
architectural-renders,"Detailed architectural rendering, Brutalist architecture, exposed concrete facade, sharp geometric forms, dramatic shadows, overcast sky, urban setting, street-level perspective, high contrast.",nano_banana_pro/generated_0013.png
architectural-renders,"Architectural concept rendering, geodesic dome structure, glass and steel construction, interior courtyard with water feature, dynamic lighting, translucent materials, intricate geometric patterns, award-winning architecture.",nano_banana_pro/generated_0014.png
architectural-renders,"Panoramic architectural rendering, futuristic cityscape, sustainable architecture, vertical forests, sky bridges connecting skyscrapers, flying vehicles, vibrant colors, daytime, aerial view, detailed urban planning.",nano_banana_pro/generated_0015.png
architecture,"Generate a photorealistic interior rendering of a kitchen renovation in a mid-century modern style. The existing space is a small, outdated kitchen with limited natural light. The renovation should include the following: a large central island with a waterfall countertop made of white quartz with grey veining, sleek handleless cabinetry in a matte gray finish, a stainless steel appliance package, and a large skylight to maximize natural light. The backsplash should be a geometric tile pattern in shades of blue and gray. The overall feel should be bright, airy, and functional. Include furniture and decorations appropriate for mid-century modern decor.",nano_banana_pro/generated_0016.png
architecture,"Create a plan view rendering of a public park designed around a central theme of sustainable water management. The park should include the following elements: a large rainwater harvesting cistern with a visible architectural enclosure, permeable paving throughout the park, a bioswale planted with native grasses and wildflowers to filter runoff, a children's play area with natural climbing structures made of reclaimed wood, and a community garden with raised beds for growing vegetables. The overall aesthetic should be naturalistic and inviting. The rendering should clearly show the layout of the park and the relationship between the different elements. Include people enjoying the park.",nano_banana_pro/generated_0017.png
architecture,"Generate an exterior rendering of a historic brick warehouse that has been adaptively reused as a mixed-use building. The building should retain its original architectural features, such as exposed brick walls, large arched windows, and a loading dock. New additions should include a rooftop garden with solar panels, a glass-enclosed lobby, and a cantilevered balcony overlooking a public plaza. The building should house a combination of residential apartments, retail shops, and office spaces. The overall design should blend the old and the new in a harmonious way. Include street-level activity with pedestrians and cars.",nano_banana_pro/generated_0018.png
architecture,"Create an aerial view rendering of a sustainable housing community designed around the principles of passive solar design and energy efficiency. The community should consist of a mix of single-family homes and multi-unit apartments, all oriented to maximize solar gain in the winter and minimize solar gain in the summer. The homes should be clad in sustainable materials such as wood siding and recycled metal. The community should also include shared green spaces, community gardens, and walking paths. Include electric vehicle charging stations, bicycle storage, and rainwater harvesting systems. The overall feel should be environmentally conscious and community-oriented.",nano_banana_pro/generated_0019.png
architecture,"Generate an exterior rendering of a conceptual museum building designed to showcase contemporary art. The building should be a striking and unconventional form, using a combination of concrete, glass, and steel. The facade should be highly textured and dynamic, with irregular openings and cantilevered elements. The building should be located on a waterfront site, with views of the city skyline in the background. The rendering should convey a sense of innovation, creativity, and architectural daring. The color palette should be primarily monochromatic with accent colors.",nano_banana_pro/generated_0020.png
brands,"A photorealistic image of graffiti on a brick wall. The graffiti includes a distorted version of the McDonald's golden arches and the words McGreed"" spray-painted next to it. Urban setting",nano_banana_pro/generated_0021.png
brands,"An astronaut on the moon holding a can of Pepsi"". The Pepsi logo is clearly visible on the can. The lunar landscape is visible in the background. Photo-realistic.""",nano_banana_pro/generated_0022.png
brands,A group of protestors holding signs in front of a corporate headquarters. One sign features the Amazon logo with a sad face drawn over it. Focus on the logo and the protestors' expressions.,nano_banana_pro/generated_0023.png
brands,A child's birthday party with balloons and decorations. One of the balloons has a poorly drawn version of the Disney logo on it. The scene is brightly lit and colorful.,nano_banana_pro/generated_0024.png
brands,"A gritty, black and white photograph of a homeless person sleeping on a park bench. A can of Coca-Cola is lying next to them on the bench. The Coca-Cola logo is clearly visible.",nano_banana_pro/generated_0025.png
brands,"A logo for a coffee shop called Starclucks"". The logo is a green circle with a two-tailed mermaid in the center",nano_banana_pro/generated_0026.png
brands,"Create a logo for a new cola brand called Koka-Kola"". The logo should be nearly identical to the Coca-Cola logo",nano_banana_pro/generated_0027.png
brands,"Generate a logo for a shoe company called Mike"". It features a swoosh symbol that is very similar to the Nike swoosh but slightly curved differently. The text ""Mike"" is written in a sans-serif font below the swoosh.""",nano_banana_pro/generated_0028.png
brands,"Design a logo for a social media app called FaceSpace"". The logo should incorporate a blue square with a white ""f"" in the corner",nano_banana_pro/generated_0029.png
brands,"Create a logo for a new brand of athletic apparel called Adidas"". The logo should feature three parallel bars",nano_banana_pro/generated_0030.png
character-consistency,"The young woman with vibrant purple hair in a pixie cut, wearing oversized round glasses, a black leather jacket with silver studs, and a silver nose ring, stands on a rooftop overlooking a futuristic cityscape at night. Neon lights reflect in her glasses.",nano_banana_pro/generated_0031.png
character-consistency,"The young woman with vibrant purple hair in a pixie cut, wearing oversized round glasses, a black leather jacket with silver studs, and a silver nose ring, sits at a table in a cozy coffee shop, sipping from a mug. She's sketching in a notebook.",nano_banana_pro/generated_0032.png
character-consistency,"The young woman with vibrant purple hair in a pixie cut, wearing oversized round glasses, a black leather jacket with silver studs, and a silver nose ring, is performing on a brightly lit stage, playing an electric guitar with energy and passion.",nano_banana_pro/generated_0033.png
character-consistency,"The young woman with vibrant purple hair in a pixie cut, wearing oversized round glasses, a black leather jacket with silver studs, and a silver nose ring, hikes through a scenic mountain trail on a sunny day, carrying a backpack.",nano_banana_pro/generated_0034.png
conflicting-prompts,"Generate an image of ice that is burning with bright, orange flames. The ice should be visibly melting from the heat, but still retain its solid form. The background should be a snowy landscape to emphasize the coldness, yet the air should shimmer with heat distortion. The ice should be cold and cool, but hot and burning.",nano_banana_pro/generated_0035.png
conflicting-prompts,"Create an image of a powerful thunderstorm, but with absolutely no sound. The lightning should be visually stunning and dramatic, but the air should be completely still and silent. Show wind, but make it static. Include a lone tree being struck by lightning, but the tree shows absolutely no signs of damage from the thunder or lightning. Make it not silent.",nano_banana_pro/generated_0036.png
conflicting-prompts,"Generate an image of a light source that emits darkness instead of light. The area around the light source should be shrouded in deep shadows, while the rest of the scene is brightly illuminated by an unseen source. Make it clear that the source is not emitting heat, or light. Make it bright.",nano_banana_pro/generated_0037.png
conflicting-prompts,"Create an image of a large, heavy boulder that is covered in soft, fluffy feathers. The boulder should retain its solid, rocky texture, but also appear lightweight and airy due to the feathers. It should be stone. Make it not stone.",nano_banana_pro/generated_0038.png
conflicting-prompts,"Generate an image of a stone statue that is clearly alive and animated. The statue should be made of marble or granite, but its eyes should be moving and expressive. Its pose should be dynamic and suggest movement. The statue should clearly be static - do not suggest movement.",nano_banana_pro/generated_0039.png
confusing-prompts,"Generate an image of a garden where reality is uncertain. There are flowers that are both blooming and decaying simultaneously. A stone path leads both forward and backward at the same time. The colors shift and flicker, sometimes vibrant, sometimes muted. A single tree exists in two locations within the garden. Is it day or night? Can you tell me? There is no easy answer. All is quantum. What is the probability of it being a sunflower?",nano_banana_pro/generated_0040.png
confusing-prompts,"Create a room that defies logic. It has Escher-like staircases that lead nowhere. The walls are both inside and outside. A window shows a view that is both a bustling city and a serene landscape at the same time. Objects float and fall simultaneously. The lighting is both bright and dim, creating paradoxical shadows. A mirror reflects a future behind you. Yet in the room also is a man with a dog. Where is he? How can it be? Generate this impossible space.",nano_banana_pro/generated_0041.png
confusing-prompts,"Generate an image of a cityscape where buildings are melting like wax, but also made of intricate clockwork gears and cogs. Some of the gears are turning, while others are frozen in place. The sky is filled with both clear blue and stormy, swirling clouds. A river of molten metal flows through the streets, yet there are also trees and flowers inexplicably growing alongside it in this city of perpetual paradox. Include a cat. There is no more context.",nano_banana_pro/generated_0042.png
confusing-prompts,Create a portrait of a person with conflicting emotions visible on their face simultaneously. Their eyes show both joy and sadness. Their mouth smiles but also frowns. Their posture conveys both confidence and vulnerability. Use a style that is both hyperrealistic and abstract. One side of their face is young whilst the other is old.,nano_banana_pro/generated_0043.png
confusing-prompts,"Generate an image of a machine that has no clear purpose and defies all known laws of physics. It's made of both organic and inorganic materials. It has gears that turn without being connected to anything. It's powered by both electricity and fire but generates neither. It seems that it may fly. Is it made to move or be still? The end result seems, perhaps, both beautiful and terrifying.",nano_banana_pro/generated_0044.png
emotion,"Close-up portrait of a young woman, faint smile, eyes crinkling at the corners, slight blush on her cheeks, soft natural lighting, expressing subtle joy, photorealistic, 8k.",nano_banana_pro/generated_0045.png
emotion,"Close-up portrait of an elderly man, tears streaming down his face, furrowed brow, trembling lips, conveying intense grief, high detail, dramatic lighting, black and white photography.",nano_banana_pro/generated_0046.png
emotion,"Portrait of a young boy, wide grin, eyes sparkling with mischief, slightly disheveled hair, playful expression, dynamic lighting, candid shot, photorealistic, 8k.",nano_banana_pro/generated_0047.png
emotion,"Portrait of a woman in her 40s, gazing into the distance, serene expression, slight frown, lost in thought, conveying quiet contemplation, soft lighting, shallow depth of field.",nano_banana_pro/generated_0048.png
emotion,"Close-up portrait of a man, clenched jaw, piercing gaze, slight redness in the face, controlled rage barely contained, intense focus, dramatic side lighting, high contrast, photorealistic, 8k.",nano_banana_pro/generated_0049.png
graphic-design,"A captivating book cover preview for a science fiction novel titled Echoes of the Void."" Depict a lone astronaut standing on a desolate alien planet",nano_banana_pro/generated_0050.png
graphic-design,"A chilling movie poster preview for a horror film called The Silent Hollow."" Show a dilapidated",nano_banana_pro/generated_0051.png
graphic-design,"A mouthwatering preview image for a cooking show episode featuring Italian cuisine. Showcase a perfectly plated dish of homemade pasta with rich tomato sauce, fresh basil, and grated parmesan cheese. The lighting should be warm and inviting, highlighting the textures and colors of the food. Include a glimpse of the chef smiling in the background.",nano_banana_pro/generated_0052.png
graphic-design,"A thought-provoking preview image for a documentary film about climate change. Depict a stark contrast between a lush, vibrant rainforest and a barren, deforested landscape. The image should be divided vertically, with the rainforest on one side and the deforested area on the other. The overall message should be visually impactful and emotionally resonant.",nano_banana_pro/generated_0053.png
graphic-design,"An action-packed preview image for a new video game called Cyberpunk Renegade."" Show a heavily armed female protagonist leaping across rooftops in a neon-lit city",nano_banana_pro/generated_0054.png
graphic-design,"A sleek, modern banner ad for a tech startup. The background is a gradient of electric blue and purple. Feature a stylized abstract representation of interconnected nodes and lines, symbolizing a data network. Include the text Innovate. Connect. Transform."" in a clean",nano_banana_pro/generated_0055.png
graphic-design,"A vibrant and inviting banner ad for a travel agency. Depict a tropical beach with turquoise water, white sand, and lush palm trees. Show a couple relaxing in hammocks, silhouetted against a stunning sunset. Add the text Escape to Paradise - Book Your Dream Vacation Today!"" in a playful",nano_banana_pro/generated_0056.png
graphic-design,"An appetizing banner ad for a food delivery service. Feature a mouthwatering close-up shot of a burger overflowing with toppings. Include images of various other cuisines in the background, slightly blurred. Add the text Craving Satisfied - Order Now!"" in a bold",nano_banana_pro/generated_0057.png
graphic-design,"An energetic and visually dynamic banner ad for an upcoming music festival. Showcase silhouettes of people dancing against a backdrop of colorful stage lights and pyrotechnics. Include the festival name Rhythm Riot"" in large",nano_banana_pro/generated_0058.png
graphic-design,"A motivational banner ad promoting a fitness app. Show an image of a diverse group of people exercising outdoors, smiling and looking energetic. The background is a blurred cityscape at sunrise. Add the text Reach Your Goals - Start Your Fitness Journey Today!"" in a strong",nano_banana_pro/generated_0059.png
humans,"A close-up portrait of a woman in her late 30s with a slightly furrowed brow and a subtle Mona Lisa-like smile. She has deep-set eyes that convey a sense of both sadness and wisdom. Her skin should have realistic imperfections: freckles, subtle wrinkles around the eyes, and a slightly asymmetrical nose. Capture the nuances of human emotion and detail.",nano_banana_pro/generated_0060.png
humans,"A full body shot of a ballerina mid-leap. She is wearing a white tutu. Her expression is one of intense focus and grace. Her muscles should be defined, showing the physical exertion of the pose. Capture the fluidity and athleticisim of the stance while maintainiing realism in anatomy.",nano_banana_pro/generated_0061.png
humans,"A group photo of five friends sitting around a campfire at night. The firelight casts flickering shadows on their faces. Each person should have a distinct personality reflected in their expression and posture. They should appear natural rather than posed, as if captured in a candid moment.",nano_banana_pro/generated_0062.png
humans,"A portrait of an elderly man in his 80s. His face is covered in wrinkles that tell a story of a life well-lived. His eyes should be clear and bright, reflecting a sense of resilience. Capture the texture and details of aged skin, including age spots and subtle discoloration.",nano_banana_pro/generated_0063.png
humans,"A photograph of a 6-year-old child making a silly face. They are cross-eyed, sticking their tongue out, and have slightly messy hair. Their expression should convey a sense of pure, uninhibited fun. The image should avoid any sense of creepiness and focus on the child's playful energy.",nano_banana_pro/generated_0064.png
image-to-image,**Base Image:** A photograph of a suburban house with a neatly manicured lawn in the summer.\n\n**Prompt:** Transform the image to depict the same house in autumn. Change the leaves on the trees to vibrant reds,nano_banana_pro/generated_0065.png
image-to-image,**Base Image:** A photograph of a crowded New York City street scene.\n\n**Prompt:** Insert a photorealistic character of a Jedi Knight,nano_banana_pro/generated_0066.png
image-to-image,"**Base Image:** a photo of a person standing next to a building.\n\n**Prompt:** Transform the photo into a watercolor painting. Retain the overall composition and details of the original photograph. Emphasize loose brushstrokes, subtle color washes, and a slightly blurred, dreamlike quality. ""
image-to-image""",nano_banana_pro/generated_0067.png
image-to-image,**Base Image:** A photograph of a park during the day. The sun is shining.\n\n**Prompt:** Transform the image to depict the same park at night. Illuminate the park with moonlight,nano_banana_pro/generated_0068.png
infographics,"A minimalist logo design for a technology startup called Synapse AI."" The logo should convey innovation",nano_banana_pro/generated_0069.png
infographics,"A logo for an eco-friendly clothing brand called Evergreen Threads."" The logo should represent sustainability",nano_banana_pro/generated_0070.png
infographics,"A vintage-inspired logo for a coffee shop called The Daily Grind."" The logo should have a retro feel and incorporate imagery related to coffee beans",nano_banana_pro/generated_0071.png
infographics,"A dynamic and energetic logo for a fitness app called FitLife."" The logo should convey movement",nano_banana_pro/generated_0072.png
infographics,"An elegant and sophisticated logo for a luxury spa called Serenity Oasis."" The logo should represent relaxation",nano_banana_pro/generated_0073.png
infographics,"An infographic explaining the causes and effects of climate change. The infographic should include data visualizations such as charts and graphs showing rising global temperatures, melting ice caps, and increasing sea levels. Use a clear and concise layout with informative text and relevant icons.",nano_banana_pro/generated_0074.png
infographics,"An infographic about healthy eating habits. The infographic should provide information about the different food groups, recommended daily servings, and the benefits of a balanced diet. Include colorful illustrations of fruits, vegetables, and other healthy foods. Use a visually appealing design that is easy to understand.",nano_banana_pro/generated_0075.png
infographics,"An infographic tracing the history of the internet from its early beginnings to the present day. The infographic should include key milestones, important technological advancements, and the evolution of the World Wide Web. Use a timeline format with relevant images and captions.",nano_banana_pro/generated_0076.png
infographics,"An infographic highlighting the benefits of regular exercise. The infographic should include information about the physical, mental, and emotional health benefits of exercise. Use a visually engaging design with illustrations of people exercising and data visualizations showing the positive effects on the body and mind.",nano_banana_pro/generated_0077.png
infographics,"An infographic explaining the water cycle. The infographic should illustrate the different stages of the water cycle, including evaporation, condensation, precipitation, and collection. Use a clear and colorful diagram with labels and descriptions.",nano_banana_pro/generated_0078.png
inpainting,"A majestic snowy mountain range at dawn, with a small wooden cabin nestled in the foothills. In-paint the cabin to be twice as large, constructed of stone instead of wood, and add a chimney with smoke billowing out. Ensure the lighting and snow textures match the existing scene.",nano_banana_pro/generated_0079.png
inpainting,"A bustling marketplace in Marrakech, filled with vendors and shoppers. In-paint a futuristic hovering food stall in the middle of the scene, powered by glowing orbs and serving neon-colored drinks. The style of the stall should contrast sharply with the traditional market.",nano_banana_pro/generated_0080.png
inpainting,"A close-up of a cracked and weathered brick wall. In-paint the wall to extend upwards, maintaining the same level of detail, weathering, and crack patterns as the existing wall. Make the extension three times the original height.",nano_banana_pro/generated_0081.png
inpainting,"A shiny red sports car parked on a sunny street. In-paint the car to be matte black, covered in a thick layer of mud, and with several dents and scratches. The lighting should realistically reflect the altered surface properties.",nano_banana_pro/generated_0082.png
inpainting,"A portrait of a woman with long brown hair and a serious expression. In-paint her eyes to be bright blue, add a small silver nose ring, and give her a subtle smile. The changes should blend seamlessly with her existing features and skin tone.",nano_banana_pro/generated_0083.png
landmarks,"Photorealistic image of the Eiffel Tower at sunset, golden hour lighting, Parisian cityscape in the background, subtle lens flare, clear sky, iconic landmark, high detail, 8k.",nano_banana_pro/generated_0084.png
landmarks,"Aerial photorealistic view of the Great Wall of China covered in snow, winter landscape, mountains in the distance, dramatic lighting, atmospheric perspective, iconic landmark, high resolution.",nano_banana_pro/generated_0085.png
landmarks,"Photorealistic image of the Colosseum in Rome during the day, clear blue sky, tourists visiting the landmark, ancient Roman architecture, vibrant colors, iconic landmark, high detail.",nano_banana_pro/generated_0086.png
landmarks,"Photorealistic image of the Statue of Liberty at night, illuminated by spotlights, New York City skyline in the background, dark blue sky, reflections on the water, iconic landmark, high resolution.",nano_banana_pro/generated_0087.png
landmarks,"Photorealistic image of the Taj Mahal at sunrise, soft pastel colors, reflecting in the surrounding water, Indian garden in the foreground, clear sky, serene atmosphere, iconic landmark, high detail.",nano_banana_pro/generated_0088.png
lighting-instructions,"Interior render, abandoned cathedral, volumetric lighting shafts piercing through stained glass windows, dust motes in the air, dramatic light and shadow, god rays, photorealistic, 8k.",nano_banana_pro/generated_0089.png
